School,Conference
Middle Tennessee,Conference USA
Midland University,
Midwestern State,Lone Star
Miles,SIAC
Millersville,Pennsylvania State Athletic
Millikin,CCIW
Millsaps,Southern Athletic
Milton,Illini-Badger
Minnesota,Big Ten
Minnesota-Crookston,
Minnesota-Duluth,Northern Sun
Minnesota-Morris,Upper Midwest
Minnesota State,Northern Sun
Minnesota St-Moorhead,Northern Sun
Minot State,Northern Sun
Misericordia,Mid Atlantic
Mississippi College,Gulf South
Mississippi Gulf Coast C.C.,
Mississippi State,SEC
Mississippi Valley State,SWAC
Missouri,SEC
Missouri Baptist,
Missouri Southern State,Mid America
Missouri S&T,Great Lakes
Missouri State,MVFC
Missouri Western,Mid America
Missouri Western State,
Monmouth,CAA
Monmouth (IL),Midwest
Montana,Big Sky
Montana State,Big Sky
Montana State-Northern,Frontier
Montana-Western,Frontier
Montclair State,New Jersey
Monterrey Tech,
Moravian,Centennial
Morehead State,Pioneer
Morehouse,SIAC
Morgan State,MEAC
Morningside,
Morrisville State,Empire 8
Morthland,
Mount Ida College,ECFC
Mount St. Joseph,Heartland
Mount Union,Ohio
Muhlenberg,Centennial
Murray State,OVC
Muskingum,Ohio
National,
Navarro College,
Navy,American Athletic
NC State,ACC
NC Wesleyan,USA South
Nebraska,Big Ten
Nebraska-Kearney,Mid America
Nebraska-Omaha,
Nevada,Mountain West
Newberry,South Atlantic
New Hampshire,CAA
New Haven,Northeast 10
New Mexico,Mountain West
New Mexico Highlands,Rocky Mountain
New Mexico Military Institute,
New Mexico State,FBS Independents
Nicholls,Southland
Nichols,Commonwealth Coast
Norfolk State,MEAC
North,
North Alabama,Atlantic Sun
North American University,Continental
North Carolina,ACC
North Carolina A&T,Big South
North Carolina Central,MEAC
North Central,CCIW
North Dakota,MVFC
North Dakota State,MVFC
Northeastern State,Mid America
Northern Arizona,Big Sky
Northern Colorado,Big Sky
Northern Illinois,Mid-American
Northern Iowa,MVFC
Northern Michigan,GLIAC
Northern State,Northern Sun
North Florida,
North Greenville,Gulf South
North Park,CCIW
North Texas,Conference USA
Northwestern,Big Ten
Northwestern (MN),Upper Midwest
Northwestern Oklahoma State,Great American
Northwestern State,Southland
Northwest Missouri State,Mid America
Northwood (MI),Great Midwest Athletic
Norwich,NEWMAC
Notre Dame,FBS Independents
Notre Dame College,Mountain East
Oberlin,North Coast
Occidental,So. Cal.
Ohio,Mid-American
Ohio Dominican,Great Midwest Athletic
Ohio Midwestern College,
Ohio Northern,Ohio
Ohio State,Big Ten
Ohio State Newark,
Ohio Wesleyan,North Coast
Oklahoma,Big 12
Oklahoma Baptist,Great American
Oklahoma State,Big 12
OK Panhandle St,Independent DII
Old Dominion,Sun Belt
Ole Miss,SEC
Olivet College,Michigan
Oregon,Pac-12
Oregon State,Pac-12
Ottawa University Arizona,
Otterbein,Ohio
Ouachita Baptist,Great American
Pace,Northeast 10
Pacific Lutheran,Northwest
Pacific (OR),Northwest
Paine,
Penn State,Big Ten
Pennsylvania,Ivy
Pikeville,Mid-South
Pittsburgh,ACC
Pittsburg State,Mid America
Plymouth State,MSCAC
Point University,
Pomona-Pitzer,So. Cal.
Portland State,Big Sky
Post University,Independent DII
Prairie View,SWAC
Presbyterian College,Pioneer
Presentation College,North Star
Princeton,Ivy
Principia College,
Professional,
Puget Sound,Northwest
Purdue,Big Ten
Quincy,Great Lakes
Randolph-Macon,Old Dominion
Redlands,So. Cal.
Reinhardt,
Rensselaer,Liberty League
Rhode Island,CAA
Rhodes,Southern Athletic
Rice,Conference USA
Richmond,CAA
Ripon,Midwest
Robert Morris,Big South
Robert Morris (IL),
Rochester,Liberty League
Rockford,NACC
Rose-Hulman,Heartland
Rowan,New Jersey
Rutgers,Big Ten
Sacramento State,Big Sky
Sacred Heart,NEC
Saginaw Valley,GLIAC
Salisbury,New Jersey
Salve Regina,Commonwealth Coast
Samford,Southern
Sam Houston State,Western Athletic
San Diego,Pioneer
San Diego State,Mountain West
San José State,Mountain West
Santa Clara,West Coast
Santa Rosa J.C.,
Savannah State,SIAC
Seton Hill College,Pennsylvania State Athletic
Sewanee Univ. of the South,Southern Athletic
Shaw,CIAA
Shenandoah,Old Dominion
Shepherd,Pennsylvania State Athletic
Shepherd Tech,
Shippensburg,Pennsylvania State Athletic
Siena,
Siena Heights,
Simon Fraser,Lone Star
Simpson College,American Rivers
Slippery Rock,Pennsylvania State Athletic
SMU,American Athletic
Snow College,
Sonoma State,Northern California Athletic
South,
South Alabama,Sun Belt
South Carolina,SEC
South Carolina State,MEAC
South Dakota,MVFC
South Dakota Mines,Rocky Mountain
South Dakota State,MVFC
Southeastern Louisiana,Southland
Southeastern Oklahoma,Great American
Southeastern University,Sun
Southeast Missouri State,OVC
Southern,SWAC
Southern Arkansas,Great American
Southern Connecticut State,Northeast 10
Southern Illinois,MVFC
Southern Mississippi,Sun Belt
Southern Nazarene,Great American
Southern Oregon,
Southern Utah,Western Athletic
Southern Virginia,USA South
South Florida,American Athletic
Southwest Baptist,Great Lakes
Southwestern Assemblies of God,
Southwestern College,Kansas
Southwestern Oklahoma,Great American
Southwest Minnesota State,Northern Sun
Southwest Mississippi C.C.,
Springfield,NEWMAC
St. Ambrose,
St. Andrews,
Stanford,Pac-12
St. Anselm,Northeast 10
St. Augustine's,CIAA
St. Cloud State,
Stephen F. Austin,Western Athletic
Sterling College,Kansas
Stetson,Pioneer
Stevenson,Mid Atlantic
St. Francis (IL),
St. Francis (IN),
St Francis (PA),NEC
Stillman,
St. John Fisher,Empire 8
St. Johns (MN),Minnesota
St. Joseph's (IN),Great Lakes
St Lawrence,Liberty League
St. Mary's (CA),West Coast
St. Norbert,NACC
St. Olaf College,Minnesota
Stonehill,NEC
Stony Brook,CAA
St. Paul's College,
St. Peter's,
St. Scholastica,Minnesota
St. Thomas (MN),Pioneer
St. Thomas University,Sun
St. Thomas University (Fl),
St. Vincent,Presidents'
St. Xavier (IL),
Sul Ross State,American Southwest
SUNY Cortland,Empire 8
SUNY Maritime,ECFC
Susquehanna,Centennial
Syracuse,ACC
Tarleton State,Western Athletic
TCU,Big 12
Temple,American Athletic
Tennessee,SEC
Tennessee State,OVC
Tennessee Tech,OVC
Texas,Big 12
Texas A&M,SEC
Texas A&M Commerce,
Texas A&M-Commerce,Southland
Texas A&M-Kingsville,Lone Star
Texas College,Red River
Texas Lutheran,American Southwest
Texas-Permian Basin,
Texas Southern,SWAC
Texas State,Sun Belt
Texas Tech,Big 12
Texas Wesleyan,
Thaddeus Stevens,
The Citadel,Southern
Thomas More,Mid-South
Tiffin,Great Midwest Athletic
Tiffin University,Great Midwest Athletic
Toledo,Mid-American
Towson,CAA
Trine,Michigan
Trinity Bible,
Trinity (CT),NESCAC
Trinity (IL),
Trinity (TX),Southern Athletic
Trinity Valley C.C.,
Troy,Sun Belt
Truman State,Great Lakes
Tufts,NESCAC
Tulane,American Athletic
Tulsa,American Athletic
Tusculum,South Atlantic
Tuskegee,SIAC
Tyler J.C.,
UAB,Conference USA
UC Davis,Big Sky
UCF,American Athletic
UCLA,Pac-12
UFTL,
UMass,FBS Independents
UMass Dartmouth,MSCAC
UMass Lowell,America East
UNC Pembroke,Mountain East
Union,Liberty League
University of Faith,
University of God's Chosen,
University of New England,Commonwealth Coast
University of Texas of the Permian Basin,Lone Star
UNLV,Mountain West
Upper Iowa,Northern Sun
Urbana,
Ursinus,Centennial
USC,Pac-12
Utah,Pac-12
Utah State,Mountain West
Utah Tech,Western Athletic
UTEP,Conference USA
Utica,Empire 8
UT Martin,OVC
UT San Antonio,Conference USA
UVA-Wise,South Atlantic
UW-Oshkosh,Wisconsin
UW-River Falls,Wisconsin
UW-Stout,Wisconsin
UW-Whitewater,Wisconsin
Valdosta State,Gulf South
Valley City State,North Star
Valparaiso,Pioneer
Vanderbilt,SEC
Villanova,CAA
Virginia,ACC
Virginia Lynchburg,National Christian
Virginia State,CIAA
Virginia Tech,ACC
Virginia Union,CIAA
VMI,Southern
Wabash College,North Coast
Wagner,NEC
Wake Forest,ACC
Waldorf,North Star
Walsh,Great Midwest Athletic
Warner,Sun
Wartburg,American Rivers
Washburn,Mid America
Washington,Pac-12
Washington & Jefferson,Presidents'
Washington & Lee,Old Dominion
Washington (MO),CCIW
Washington State,Pac-12
Wayland Baptist,
Waynesburg,Presidents'
Wayne State (MI),GLIAC
Wayne State (NE),Northern Sun
Webber International,Sun
Weber State,Big Sky
Wesleyan,NESCAC
Wesley College,
West,
West Alabama,Gulf South
West Chester,Pennsylvania State Athletic
Western Carolina,Southern
Western Connecticut State,MSCAC
Western Illinois,MVFC
Western Kentucky,Conference USA
Western Michigan,Mid-American
Western New England,Commonwealth Coast
Western New Mexico,Lone Star
Western Oregon,Lone Star
Western State,Rocky Mountain
Western Washington,
Westfield State,MSCAC
West Florida,Gulf South
West Georgia,Gulf South
West Liberty,Mountain East
Westminster,Upper Midwest
Westminster PA,Presidents'
West Texas A&M,Lone Star
West Virginia,Big 12
West Virginia Tech,
Wheaton College (Ill),CCIW
Wheeling Jesuit,Mountain East
Whittier,So. Cal.
Whitworth,Northwest
Wichita State,American Athletic
Widener,Mid Atlantic
Wilkes,Mid Atlantic
Willamette,Northwest
William Jewell College,Great Lakes
William & Mary,CAA
William Paterson,New Jersey
William Penn,Heart of America
Williams,NESCAC
Williamson Trade,
Wilmington (OH),Ohio
Wingate,South Atlantic
Winona State,Northern Sun
Winston-Salem State,CIAA
Wisconsin,Big Ten
Wisconsin-Eau Claire,Wisconsin
Wisconsin-La Crosse,Wisconsin
Wisconsin Lutheran,NACC
Wisconsin-Platteville,Wisconsin
Wisconsin-Stevens Point,Wisconsin
Wittenberg,North Coast
Wofford,Southern
Wooster,North Coast
Worcester Polytechnic,NEWMAC
Worcester State College,MSCAC
Wright State University,
WV State,Mountain East
WV Wesleyan,Mountain East
Wyoming,Mountain West
Yale,Ivy
Youngstown State,MVFC
